p3,p4,p5,p6,p7
|230.695068359375,230.695068359375,230.695068359375,230.695068359375,230.695068359375,230.695068359375,230.695068359375,230.695068359375,230.695068359375,157.26776123046875,157.26776123046875,157.26776123046875,157.26776123046875,157.26776123046875,157.26776123046875,157.26776123046875,157.26776123046875,157.26776123046875|267.8463134765625,267.8463134765625,267.8463134765625,267.8463134765625,267.8463134765625,267.8463134765625,267.8463134765625,267.8463134765625,267.8463134765625|666.9249877929688,666.9249877929688,666.9249877929688,666.9249877929688,666.9249877929688,666.9249877929688,666.9249877929688,666.9249877929688,666.9249877929688|
91.22845458984375,91.22845458984375,86.06666564941406,86.06666564941406,86.76667022705078,86.76667022705078,91.22845458984375,91.22845458984375,91.22845458984375,86.06666564941406,86.06666564941406,86.06666564941406,86.76667022705078,91.22845458984375,91.22845458984375,91.22845458984375,86.06666564941406,86.06666564941406,86.06666564941406,86.76667022705078,91.22845458984375,86.06666564941406,86.76667022705078,83.51666259765625,83.51666259765625,83.51666259765625,83.51666259765625,94.41665649414062,94.41665649414062,120.46665954589844,120.46665954589844,120.46665954589844,83.51666259765625,83.51666259765625,94.41665649414062,94.41665649414062,120.46665954589844,120.46665954589844,120.46665954589844,94.41665649414062,94.41665649414062,120.46665954589844,120.46665954589844,120.46665954589844,100.48333740234375,113.38333129882812,113.38333129882812,119.85000610351562,100.48333740234375,100.48333740234375,100.48333740234375,113.38333129882812,113.38333129882812,113.38333129882812,119.85000610351562,119.85000610351562,119.85000610351562,119.31668090820312,100.48333740234375,100.48333740234375,100.48333740234375,113.38333129882812,113.38333129882812,113.38333129882812,119.85000610351562,119.85000610351562,119.85000610351562,119.31668090820312,119.31668090820312,119.31668090820312,100.48333740234375,100.48333740234375,113.38333129882812,119.85000610351562,119.85000610351562,81.91668701171875,81.91668701171875,88.33334350585938,88.33334350585938,88.33334350585938,119.31668090820312,119.31668090820312,119.31668090820312,81.91668701171875,81.91668701171875,88.33334350585938,88.33334350585938,88.33334350585938,119.31668090820312,119.31668090820312,81.91668701171875,81.91668701171875,88.33334350585938,88.33334350585938,88.33334350585938,75.04998779296875,75.04998779296875,75.04998779296875,75.04998779296875,75.04998779296875,75.04998779296875,75.04998779296875,75.04998779296875,75.04998779296875,101.21495056152344,101.21495056152344,101.21495056152344,101.21495056152344,101.21495056152344,101.21495056152344,101.21495056152344,101.21495056152344,101.21495056152344,127.57318878173828,127.57318878173828,127.57318878173828,127.57318878173828,127.57318878173828,127.57318878173828,127.57318878173828|91.22845458984375,91.22845458984375,91.22845458984375,91.22845458984375,91.22845458984375,91.22845458984375,127.57318878173828,127.57318878173828,127.57318878173828,127.57318878173828,127.57318878173828,127.57318878173828,127.57318878173828,257.4637451171875,257.4637451171875,257.4637451171875,257.4637451171875,257.4637451171875,257.4637451171875,257.4637451171875,257.4637451171875,257.4637451171875|393.4666442871094,393.4666442871094,393.4666442871094,393.4666442871094,393.4666442871094,393.4666442871094,393.4666442871094,393.4666442871094,393.4666442871094,257.4637451171875,257.4637451171875,257.4637451171875,265.2987060546875,265.2987060546875,265.2987060546875,265.2987060546875,265.2987060546875,265.2987060546875,265.2987060546875,265.2987060546875,265.2987060546875,525.5584716796875,525.5584716796875,525.5584716796875,525.5584716796875,525.5584716796875,525.5584716796875,525.5584716796875,525.5584716796875,479.99993896484375,479.99993896484375,479.99993896484375,525.5584716796875,479.99993896484375,479.99993896484375,479.99993896484375|583.2166748046875,583.2166748046875,583.2166748046875,583.2166748046875,583.2166748046875,583.2166748046875,583.2166748046875,583.2166748046875,583.2166748046875,511.9220886230469,511.9220886230469,511.9220886230469,511.9220886230469,511.9220886230469,511.9220886230469,511.9220886230469,511.9220886230469,511.9220886230469,671.9220581054688,671.9220581054688,671.9220581054688,525.5584716796875,525.5584716796875,671.9220581054688,671.9220581054688,671.9220581054688,671.9220581054688,671.9220581054688,671.9220581054688,479.99993896484375,479.99993896484375|1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
|235.42352294921875,235.42352294921875,235.42352294921875,235.42352294921875,235.42352294921875,235.42352294921875,235.42352294921875,235.42352294921875,235.42352294921875|618.986083984375,618.986083984375,618.986083984375,618.986083984375,618.986083984375,618.986083984375,618.986083984375,618.986083984375,618.986083984375|562.8488159179688,562.8488159179688,562.8488159179688,562.8488159179688,562.8488159179688,562.8488159179688,562.8488159179688,562.8488159179688,562.8488159179688|
68.20266723632812,68.20266723632812,68.20266723632812,68.20266723632812,68.20266723632812,68.20266723632812,68.20266723632812,68.20266723632812,68.20266723632812,90.36799621582031,90.36799621582031,90.36799621582031,90.36799621582031,90.36799621582031,90.36799621582031,90.36799621582031,90.36799621582031,90.36799621582031,42.901336669921875,58.60267639160156,58.60267639160156,42.901336669921875,42.901336669921875,42.901336669921875,58.60267639160156,58.60267639160156,58.60267639160156,58.60267639160156,42.901336669921875,42.901336669921875,42.901336669921875,58.60267639160156,58.60267639160156,58.60267639160156,81.56146240234375,81.56146240234375,81.56146240234375,42.901336669921875,42.901336669921875,81.56146240234375,81.56146240234375,81.56146240234375,81.56146240234375,81.56146240234375,81.56146240234375,59.00800323486328,59.00800323486328,59.00800323486328,79.50933074951172,79.50933074951172,79.50933074951172,107.17868041992188,107.17868041992188,107.17868041992188,59.00800323486328,59.00800323486328,59.00800323486328,79.50933074951172,79.50933074951172,79.50933074951172,107.17868041992188,107.17868041992188,107.17868041992188,83.02935791015625,83.02935791015625,83.02935791015625,59.00800323486328,59.00800323486328,59.00800323486328,79.50933074951172,79.50933074951172,79.50933074951172,78.53118896484375,78.53118896484375,78.53118896484375,107.17868041992188,107.17868041992188,107.17868041992188,83.02935791015625,83.02935791015625,83.02935791015625,78.53118896484375,78.53118896484375,78.53118896484375,78.53118896484375,83.02935791015625,83.02935791015625,83.02935791015625,78.53118896484375,78.53118896484375,118.56500244140625,118.56500244140625,118.56500244140625,118.56500244140625,118.56500244140625,118.56500244140625,108.79132080078125,108.79132080078125,108.79132080078125,108.79132080078125,108.79132080078125,108.79132080078125,108.79132080078125,108.79132080078125,108.79132080078125,116.452392578125,116.452392578125,116.452392578125,116.452392578125,116.452392578125,116.452392578125,116.452392578125,116.452392578125,106.72137451171875,106.72137451171875,106.72137451171875,106.72137451171875,106.72137451171875,106.72137451171875,106.72137451171875,106.72137451171875,106.72137451171875,142.657958984375,142.657958984375,142.657958984375,87.23785400390625,87.23785400390625,87.23785400390625,87.23785400390625,87.23785400390625,87.23785400390625,87.23785400390625,87.23785400390625,87.23785400390625|206.80596923828125,206.80596923828125,206.80596923828125,206.80596923828125,206.80596923828125,206.80596923828125,206.80596923828125,206.80596923828125,206.80596923828125,169.56768798828125,169.56768798828125,169.56768798828125,169.56768798828125,169.56768798828125,169.56768798828125,169.56768798828125,169.56768798828125,169.56768798828125,146.1363525390625,146.1363525390625,146.1363525390625,146.1363525390625,146.1363525390625,146.1363525390625,146.1363525390625,146.1363525390625,146.1363525390625,107.17868041992188,107.17868041992188,107.17868041992188,107.17868041992188,107.17868041992188,107.17868041992188,107.17868041992188,107.17868041992188,107.17868041992188,127.54925537109375,118.56500244140625,118.56500244140625,118.56500244140625,149.07736206054688,149.07736206054688,127.54925537109375,127.54925537109375,127.54925537109375,118.56500244140625,118.56500244140625,118.56500244140625,149.07736206054688,149.07736206054688,149.07736206054688,149.07736206054688,127.54925537109375,127.54925537109375,127.54925537109375,118.56500244140625,118.56500244140625,118.56500244140625,149.07736206054688,149.07736206054688,149.07736206054688,151.62066650390625,151.62066650390625,127.54925537109375,127.54925537109375,151.62066650390625,151.62066650390625,151.62066650390625,151.62066650390625,151.62066650390625,151.62066650390625,151.62066650390625,128.2987060546875,128.2987060546875,179.10662841796875,179.10662841796875,116.452392578125,116.452392578125,116.452392578125,128.2987060546875,128.2987060546875,128.2987060546875,128.2987060546875,179.10662841796875,179.10662841796875,179.10662841796875,179.10662841796875,179.36273193359375,179.36273193359375,179.36273193359375,128.2987060546875,128.2987060546875,128.2987060546875,179.10662841796875,179.10662841796875,179.10662841796875,179.36273193359375,179.36273193359375,179.36273193359375,142.657958984375,142.657958984375,142.657958984375,179.36273193359375,179.36273193359375,179.36273193359375,142.657958984375,142.657958984375,142.657958984375,142.657958984375,142.657958984375,142.657958984375|206.80596923828125,206.80596923828125,206.80596923828125,206.80596923828125,206.80596923828125,206.80596923828125,582.1552734375,582.1552734375,582.1552734375,179.10662841796875,179.10662841796875,179.10662841796875,179.10662841796875,179.10662841796875,179.10662841796875|569.5615844726562,569.5615844726562,569.5615844726562,569.5615844726562,569.5615844726562,569.5615844726562,569.5615844726562,569.5615844726562,569.5615844726562,582.1552734375,582.1552734375,582.1552734375,582.1552734375,582.1552734375,582.1552734375,582.1552734375,582.1552734375,582.1552734375,771.3067016601562,771.3067016601562,771.3067016601562,771.3067016601562,771.3067016601562,771.3067016601562,771.3067016601562,771.3067016601562,771.3067016601562|1097.0413818359375,1097.0413818359375,1097.0413818359375,1097.0413818359375,1097.0413818359375,1097.0413818359375,1097.0413818359375,1097.0413818359375,1097.0413818359375
|227.7166748046875,227.7166748046875,227.7166748046875,227.7166748046875,227.7166748046875,227.7166748046875,227.7166748046875,227.7166748046875,227.7166748046875,283.78338623046875,283.78338623046875,283.78338623046875,283.78338623046875,283.78338623046875,283.78338623046875|526.1166381835938,526.1166381835938,526.1166381835938,526.1166381835938,526.1166381835938,526.1166381835938,526.1166381835938,526.1166381835938,526.1166381835938,233.25616455078125,233.25616455078125,233.25616455078125,233.25616455078125,233.25616455078125,233.25616455078125,233.25616455078125,233.25616455078125,233.25616455078125,367.84820556640625,367.84820556640625,367.84820556640625,367.84820556640625,367.84820556640625,367.84820556640625,367.84820556640625,367.84820556640625,367.84820556640625,463.21136474609375,463.21136474609375,463.21136474609375,463.21136474609375,463.21136474609375,463.21136474609375,283.78338623046875,283.78338623046875,283.78338623046875,283.78338623046875,283.78338623046875,283.78338623046875|691.9328002929688,691.9328002929688,691.9328002929688,691.9328002929688,691.9328002929688,691.9328002929688,691.9328002929688,691.9328002929688,691.9328002929688,463.21136474609375,463.21136474609375,463.21136474609375,463.21136474609375,463.21136474609375,463.21136474609375|
51.94999694824219,51.94999694824219,51.94999694824219,51.94999694824219,51.94999694824219,51.94999694824219,51.94999694824219,51.94999694824219,51.94999694824219,45.080780029296875,45.080780029296875,45.080780029296875,45.080780029296875,45.080780029296875,45.080780029296875,45.080780029296875,45.080780029296875,45.080780029296875,44.23333740234375,44.23333740234375,44.23333740234375,44.23333740234375,44.23333740234375,44.23333740234375,44.23333740234375,44.23333740234375,44.23333740234375,48.4666748046875,48.4666748046875,48.4666748046875,48.4666748046875,48.4666748046875,48.4666748046875,48.4666748046875,48.4666748046875,48.4666748046875,61.11907958984375,61.11907958984375,61.11907958984375,61.11907958984375,61.11907958984375,61.11907958984375,61.11907958984375,61.11907958984375,61.11907958984375,15.2198486328125,15.2198486328125,14.4107666015625,14.4107666015625,15.2198486328125,15.2198486328125,14.4107666015625,14.4107666015625,14.58013916015625,14.58013916015625,14.58013916015625,14.58013916015625,12.39569091796875,12.39569091796875,10.090606689453125,12.39569091796875,12.39569091796875,15.418304443359375,15.418304443359375,15.418304443359375,15.418304443359375,13.75433349609375,13.75433349609375,12.8994140625,12.8994140625,12.8994140625,12.8994140625,11.266021728515625,11.266021728515625,11.374053955078125,11.266021728515625,11.266021728515625,14.319122314453125,13.861175537109375,13.861175537109375,13.861175537109375,13.861175537109375,14.763336181640625,11.678192138671875,14.763336181640625,13.906982421875,13.906982421875,13.906982421875,13.906982421875,12.807830810546875,12.807830810546875,7.48016357421875,13.6474609375,13.6474609375,13.357406616210938,13.357406616210938,10.289031982421875,10.289031982421875,6.77862548828125,12.258270263671875||259.68109130859375,259.68109130859375,259.68109130859375,259.68109130859375,259.68109130859375,259.68109130859375,259.68109130859375,259.68109130859375,259.68109130859375|577.7666015625,577.7666015625,577.7666015625,555.673583984375,555.673583984375,555.673583984375,577.7666015625,577.7666015625,577.7666015625,555.673583984375,555.673583984375,555.673583984375,577.7666015625,577.7666015625,577.7666015625,555.673583984375,555.673583984375,555.673583984375|
75.47357177734375,75.47357177734375,75.47357177734375,75.47357177734375,65.9571533203125,65.9571533203125,65.9571533203125,65.0438232421875,65.0438232421875,68.9161376953125,68.9161376953125,75.47357177734375,75.47357177734375,75.47357177734375,55.60052490234375,55.60052490234375,55.60052490234375,65.9571533203125,65.9571533203125,65.9571533203125,65.0438232421875,65.0438232421875,65.0438232421875,65.0438232421875,68.9161376953125,68.9161376953125,68.9161376953125,68.9161376953125,75.47357177734375,75.47357177734375,55.60052490234375,55.60052490234375,55.60052490234375,65.9571533203125,65.9571533203125,65.9571533203125,65.0438232421875,65.0438232421875,65.0438232421875,68.9161376953125,68.9161376953125,68.9161376953125,112.27883911132812,112.27883911132812,112.27883911132812,112.27883911132812,112.27883911132812,112.27883911132812,112.27883911132812,112.27883911132812,112.27883911132812,154.03402709960938,154.03402709960938,154.03402709960938,154.03402709960938,154.03402709960938,154.03402709960938,154.03402709960938,154.03402709960938,154.03402709960938,26.892013549804688,26.892013549804688,26.892013549804688,20.39434814453125,20.39434814453125,31.042236328125,107.39117431640625,107.39117431640625,107.39117431640625,31.042236328125,116.9508056640625,116.9508056640625,107.39117431640625,107.39117431640625,107.39117431640625,31.042236328125,116.9508056640625,116.9508056640625,116.9508056640625,107.39117431640625,107.39117431640625,107.39117431640625,116.9508056640625,116.9508056640625,116.9508056640625,116.9508056640625,50.215972900390625,50.215972900390625,60.32537841796875,60.32537841796875,60.32537841796875,50.215972900390625,50.215972900390625,60.32537841796875,60.32537841796875,60.32537841796875,60.32537841796875,50.215972900390625,50.215972900390625,60.32537841796875,60.32537841796875|154.03402709960938,154.03402709960938,154.03402709960938,154.03402709960938,154.03402709960938,154.03402709960938,273.2720031738281,273.2720031738281,273.2720031738281,273.2720031738281,273.2720031738281,273.2720031738281,273.2720031738281,273.2720031738281,273.2720031738281,107.39117431640625,107.39117431640625,107.39117431640625,107.39117431640625,107.39117431640625,107.39117431640625|285.869384765625,285.869384765625,285.869384765625,285.869384765625,285.869384765625,285.869384765625,285.869384765625,285.869384765625,285.869384765625||
94.3887939453125,94.3887939453125,94.3887939453125,94.3887939453125,94.3887939453125,94.3887939453125,94.3887939453125,94.3887939453125,94.3887939453125,74.4691162109375,74.4691162109375,74.4691162109375,74.4691162109375,74.4691162109375,74.4691162109375,74.4691162109375,74.4691162109375,74.4691162109375,217.8360595703125,217.8360595703125,217.8360595703125,217.8360595703125,217.8360595703125,217.8360595703125,28.309112548828125,28.309112548828125,28.309112548828125,28.309112548828125,28.309112548828125,28.309112548828125,28.309112548828125,28.309112548828125,28.309112548828125,79.93963623046875,79.93963623046875,79.93963623046875,79.93963623046875,79.93963623046875,79.93963623046875,39.550323486328125,39.550323486328125,39.550323486328125,39.550323486328125,39.550323486328125,39.550323486328125,39.550323486328125,39.550323486328125,39.550323486328125,50.8076171875,50.8076171875,50.8076171875,50.8076171875,50.8076171875,50.8076171875,50.8076171875,50.8076171875,50.8076171875,64.01531982421875,64.01531982421875,64.01531982421875,64.01531982421875,52.28759765625,52.28759765625,64.01531982421875,64.01531982421875,64.01531982421875,52.28759765625,52.28759765625,52.28759765625,64.01531982421875,64.01531982421875,52.28759765625,52.28759765625,52.28759765625,65.1580810546875,65.1580810546875,65.1580810546875,52.28759765625,65.1580810546875,65.1580810546875,65.1580810546875,80.53912353515625,80.53912353515625,80.53912353515625,80.53912353515625,80.53912353515625,80.53912353515625,12.12176513671875,12.12176513671875,80.53912353515625,80.53912353515625,80.53912353515625,12.12176513671875,12.12176513671875,81.592529296875,81.592529296875,81.592529296875,69.841796875,69.841796875,152.04815673828125,152.04815673828125,152.04815673828125,152.04815673828125,81.592529296875,81.592529296875,84.38409423828125,84.38409423828125,69.841796875,69.841796875,69.841796875,69.841796875,81.592529296875,81.592529296875,84.38409423828125,79.55035400390625,79.55035400390625,69.841796875,69.841796875,69.841796875,84.38409423828125,79.55035400390625,79.55035400390625,79.55035400390625,79.55035400390625,79.55035400390625|212.19671630859375,212.19671630859375,212.19671630859375,212.19671630859375,212.19671630859375,212.19671630859375,217.8360595703125,217.8360595703125,355.9344482421875,355.9344482421875,355.9344482421875,212.19671630859375,212.19671630859375,212.19671630859375,217.8360595703125,217.8360595703125,355.9344482421875,355.9344482421875,355.9344482421875,217.8360595703125,217.8360595703125,355.9344482421875,355.9344482421875,355.9344482421875,217.8360595703125,203.54104614257812,203.54104614257812,203.54104614257812,203.54104614257812,203.54104614257812,203.54104614257812,203.54104614257812,203.54104614257812,203.54104614257812,97.718505859375,97.718505859375,97.718505859375,97.718505859375,97.718505859375,97.718505859375,97.718505859375,97.718505859375,97.718505859375,152.04815673828125,152.04815673828125,152.04815673828125,152.04815673828125,152.04815673828125,125.27679443359375,125.27679443359375,125.27679443359375,113.06195068359375,113.06195068359375,113.06195068359375,152.04815673828125,152.04815673828125,152.04815673828125,125.27679443359375,125.27679443359375,125.27679443359375,148.619873046875,148.619873046875,148.619873046875,113.06195068359375,113.06195068359375,113.06195068359375,149.369140625,149.369140625,149.369140625,152.04815673828125,125.27679443359375,125.27679443359375,125.27679443359375,148.619873046875,148.619873046875,148.619873046875,113.06195068359375,113.06195068359375,113.06195068359375,149.369140625,149.369140625,149.369140625,149.369140625,148.619873046875,148.619873046875,148.619873046875,149.369140625,149.369140625|339.4286193847656,220.94613647460938,220.94613647460938,412.77752685546875,412.77752685546875,412.77752685546875,339.4286193847656,339.4286193847656,339.4286193847656,355.9344482421875,355.9344482421875,539.615966796875,539.615966796875,220.94613647460938,220.94613647460938,220.94613647460938,412.77752685546875,412.77752685546875,412.77752685546875,478.201416015625,478.201416015625,478.201416015625,339.4286193847656,339.4286193847656,339.4286193847656,355.9344482421875,355.9344482421875,539.615966796875,539.615966796875,539.615966796875,220.94613647460938,220.94613647460938,220.94613647460938,500.88995361328125,500.88995361328125,412.77752685546875,412.77752685546875,412.77752685546875,478.201416015625,478.201416015625,478.201416015625,339.4286193847656,339.4286193847656,355.9344482421875,355.9344482421875,539.615966796875,539.615966796875,539.615966796875,296.6183166503906,296.6183166503906,296.6183166503906,500.88995361328125,500.88995361328125,500.88995361328125,500.88995361328125,478.201416015625,478.201416015625,478.201416015625,539.615966796875,296.6183166503906,296.6183166503906,296.6183166503906,500.88995361328125,500.88995361328125,500.88995361328125,296.6183166503906,296.6183166503906,296.6183166503906|478.201416015625,478.201416015625,478.201416015625,500.88995361328125,500.88995361328125,500.88995361328125|
43.854217529296875,43.854217529296875,43.854217529296875,43.854217529296875,43.854217529296875,43.854217529296875,43.854217529296875,43.854217529296875,43.854217529296875,36.99530029296875,36.99530029296875,36.99530029296875,36.99530029296875,36.99530029296875,36.99530029296875,36.99530029296875,36.99530029296875,36.99530029296875,26.2294921875,26.2294921875,26.2294921875,26.2294921875,26.2294921875,26.2294921875,26.2294921875,26.2294921875,26.2294921875,22.462478637695312,22.462478637695312,22.462478637695312,41.49882507324219,41.49882507324219,41.49882507324219,35.40983581542969,35.40983581542969,41.49882507324219,41.49882507324219,41.49882507324219,35.40983581542969,35.40983581542969,35.40983581542969,25.910995483398438,25.910995483398438,25.910995483398438,41.49882507324219,41.49882507324219,41.49882507324219,35.40983581542969,35.40983581542969,35.40983581542969,25.910995483398438,25.910995483398438,25.910995483398438,35.40983581542969,25.910995483398438,25.910995483398438,25.910995483398438,58.32318115234375,58.32318115234375,58.32318115234375,58.32318115234375,58.32318115234375,58.32318115234375,58.32318115234375,58.32318115234375,58.32318115234375,100.10302734375,100.10302734375,100.10302734375,100.10302734375,100.10302734375,100.10302734375,100.10302734375,81.57379150390625,81.57379150390625,72.86184692382812,72.86184692382812,72.86184692382812,100.10302734375,100.10302734375,81.57379150390625,81.57379150390625,81.57379150390625,81.57379150390625,72.86184692382812,72.86184692382812,72.86184692382812,72.86184692382812,42.7353515625,42.7353515625,42.7353515625,81.57379150390625,81.57379150390625,81.57379150390625,72.86184692382812,72.86184692382812,42.7353515625,42.7353515625,42.7353515625,14.088241577148438,14.088241577148438,73.55502319335938,73.55502319335938,73.55502319335938,42.7353515625,42.7353515625,42.7353515625,73.55502319335938,73.55502319335938,73.55502319335938,20.851318359375,20.851318359375,20.851318359375,47.00701904296875,47.00701904296875,73.55502319335938,73.55502319335938,73.55502319335938,20.851318359375,20.851318359375,20.851318359375,47.00701904296875,47.00701904296875,47.00701904296875,125.67678833007812,125.67678833007812,125.67678833007812,12.3272705078125,12.3272705078125,47.00701904296875,47.00701904296875,125.67678833007812,125.67678833007812,125.67678833007812,125.67678833007812,125.67678833007812,125.67678833007812,25.42254638671875,25.42254638671875,25.42254638671875,25.42254638671875,25.42254638671875,8.95501708984375,25.42254638671875,25.42254638671875,25.42254638671875,61.245941162109375,61.245941162109375,61.245941162109375,61.245941162109375,61.245941162109375,61.245941162109375,61.245941162109375,61.245941162109375,61.245941162109375,30.64947509765625,30.64947509765625,30.64947509765625,30.64947509765625,30.64947509765625,30.64947509765625,30.64947509765625,30.64947509765625,30.64947509765625|125.67678833007812,125.67678833007812,125.67678833007812,125.67678833007812,117.30209350585938,117.30209350585938,117.30209350585938,117.30209350585938,117.30209350585938,117.30209350585938,117.30209350585938,117.30209350585938,117.30209350585938,154.60427856445312,154.60427856445312,154.60427856445312,154.60427856445312,154.60427856445312,154.60427856445312,164.23422241210938,164.23422241210938,154.60427856445312,154.60427856445312,154.60427856445312,164.23422241210938,164.23422241210938,164.23422241210938,164.23422241210938,164.23422241210938,164.23422241210938,164.23422241210938|446.10321044921875,446.10321044921875,446.10321044921875,446.10321044921875,478.2159423828125,478.2159423828125,478.2159423828125,446.10321044921875,446.10321044921875,446.10321044921875,478.2159423828125,478.2159423828125,478.2159423828125,446.10321044921875,446.10321044921875,478.2159423828125,478.2159423828125,478.2159423828125|478.2159423828125,478.2159423828125,478.2159423828125,478.2159423828125,478.2159423828125,478.2159423828125|
397.54345703125,397.54345703125,397.54345703125,397.54345703125,397.54345703125,397.54345703125,397.54345703125,397.54345703125,397.54345703125,286.27996826171875,286.27996826171875,286.27996826171875,286.27996826171875,286.27996826171875,286.27996826171875,97.51751708984375,97.51751708984375,97.51751708984375,97.51751708984375,97.51751708984375,97.51751708984375,97.51751708984375,97.51751708984375,97.51751708984375,114.35415649414062,114.35415649414062,114.35415649414062,114.35415649414062,114.35415649414062,114.35415649414062,114.35415649414062,114.35415649414062,114.35415649414062|397.54345703125,397.54345703125,397.54345703125,397.54345703125,397.54345703125,397.54345703125,397.54345703125,256.1124572753906,256.1124572753906,256.1124572753906,256.1124572753906,256.1124572753906,256.1124572753906,256.1124572753906,256.1124572753906,256.1124572753906,340.35247802734375,340.35247802734375,340.35247802734375,340.35247802734375,340.35247802734375,340.35247802734375,168.58331298828125,168.58331298828125,168.58331298828125,168.58331298828125,168.58331298828125,168.58331298828125,168.58331298828125,168.58331298828125,168.58331298828125|381.11480712890625,381.11480712890625,381.11480712890625,346.92279052734375,346.92279052734375,346.92279052734375,381.11480712890625,381.11480712890625,381.11480712890625,346.92279052734375,346.92279052734375,346.92279052734375,346.92279052734375,381.11480712890625,381.11480712890625,381.11480712890625,256.1124572753906,256.1124572753906,256.1124572753906,346.92279052734375,346.92279052734375,340.35247802734375,340.35247802734375,340.35247802734375,340.35247802734375,340.35247802734375,340.35247802734375,340.35247802734375,340.35247802734375,340.35247802734375|381.11480712890625,381.11480712890625,381.11480712890625,381.11480712890625,381.11480712890625,381.11480712890625|
