p3,p4,p5,p6,p7
#,193.9814148,267.8463135,666.9250488,#
100.2040558,170.7980347,397.5362549,577.8923950,1000.0000000
#,235.4235382,618.9861450,562.8488770,#
86.0878525,149.5738678,270.7961121,641.0078125,1097.0415039
#,250.1433716,375.0501709,600.4442139,#
29.8470020,#,259.6810913,566.7200928,#
82.0477982,191.8094940,285.8693848,#,#
74.3015900,176.6449127,397.2200012,489.5457153,#
51.8068161,142.8378296,462.1595764,478.2159424,#
218.2550354,278.9413452,346.1282654,381.1148376,#
107.3294144,162.8392944,488.7728882,603.6535645,#
#,#,317.9520569,738.7077026,#
84.6717682,140.9011841,397.4205322,688.7960815,#
#,145.7339478,222.1437836,645.3817749,806.7170410
#,#,354.2653503,678.4052734,847.7748413
#,#,502.0270081,563.2382812,882.2478638
#,156.6729126,221.0731201,532.1496582,#
71.2717133,174.4486694,338.7377319,#,#
49.8841934,270.3399048,347.2656860,859.6441040,#
#,#,#,728.0479736,979.3195190
96.8004532,164.5502625,201.5629425,688.1785278,#
93.3826370,167.7705078,400.7868958,789.2659302,#
68.6510086,202.3853302,238.7671967,698.0468750,#
75.8473816,181.4020386,351.4463196,464.8619080,#
84.3555832,130.9791718,#,637.8442993,#
82.5966187,153.0693207,271.4295959,#,908.6572266
80.8534012,147.4201050,349.5919800,505.4048462,#
#,350.9148254,425.9147949,702.0303345,#
55.7712898,153.4017334,326.6607056,#,#
69.9314957,217.9282227,525.4334106,934.7703857,934.7703857
64.4833374,#,447.2270508,731.4934692,#
39.4801025,223.1623535,298.3092957,429.5153198,#
75.2099609,190.1381073,252.4927063,628.9276123,#
56.9650612,175.6525574,366.9000854,623.2613525,1064.5992432
60.4946022,270.3700256,589.8342285,633.2026367,#
73.2326660,#,#,640.0570679,776.3392334
#,#,272.6214905,493.3007812,779.3101196
71.3978043,197.7793884,386.5173645,598.1099854,871.6642456
81.3083191,216.5919495,340.4103088,491.0332947,#
74.7104492,192.5110474,313.6497803,670.8231812,#
101.4022675,158.4833527,#,#,#
80.0125580,125.7501602,#,591.6328735,#
95.8390884,#,396.6925049,806.6734009,1328.4177246
98.5167007,136.8190460,712.2391357,771.1511841,992.4933472
79.6996536,185.1446686,301.3764954,1016.5084839,1016.5084839
92.3610992,169.6529541,#,604.0711670,#
#,290.1421509,445.8361816,686.6058350,987.9708252
30.1707420,#,#,768.3912964,#
#,#,#,644.2457886,955.7925415
116.1046143,141.5506592,372.8687134,448.5346985,1028.1015625
79.9309692,148.8256378,354.0184631,462.1042480,#
72.5083084,215.7482910,441.5564575,551.5106812,#
66.7343140,#,#,#,875.3446045
80.8393021,302.3263245,417.0000000,800.0000000,#
59.4577103,258.8833008,321.9435425,674.3773193,839.5593872
46.7653198,144.1449738,229.6645508,#,877.5857544
75.7640686,170.8423309,341.5214233,685.0832520,809.8696289
#,186.7424927,348.6916199,497.8224792,#
63.4379196,200.8937073,378.7984314,698.6111450,796.3922729
77.2799377,211.3636017,317.6151733,571.3800049,#
74.4883804,175.2499695,383.5863342,582.6524658,#
74.7312393,171.3949738,278.4918823,665.7737427,884.3903198
69.6690674,212.1637573,278.9332581,738.2243652,759.7489014
49.4215393,164.1889191,444.1131897,#,810.9285889
96.9418793,201.6990967,333.4865723,371.0964355,#
99.6053848,172.5530853,368.8072815,645.1885986,879.0543823
71.9024963,178.4906769,267.7485046,#,#
84.9973831,138.7926178,280.3986816,798.4575195,#
55.9996872,163.2685089,#,656.2238770,#
61.2377548,223.0971527,317.7160339,568.5734253,#
49.3726807,#,251.0747070,588.1101074,1078.1943359
111.0096741,166.8116150,456.5093079,586.5623779,883.2426147
88.6791763,#,578.3488770,692.3653564,851.7290039
94.1242371,113.0833359,640.0000000,1067.0000000,1067.0000000
87.4260483,217.4975891,243.8867340,780.1743164,1199.0000000
73.9922333,152.4879150,272.8483887,818.0177002,#
74.4166718,117.0541077,436.7523499,#,1319.5242920
72.9211426,161.7167053,312.2218933,666.9343262,1050.2055664
92.4454651,#,477.9560242,608.6199951,1067.0000000
55.6943207,201.2023773,284.8069763,663.2694092,777.0333862
69.9019012,237.5520630,329.7781982,481.2887268,1182.6196289
88.3824005,165.3701782,313.3298645,669.6793213,#
133.8658142,165.7738342,344.8334045,544.5290527,1018.9211426
96.4968262,183.1905823,408.8581848,642.2246094,958.1326294
#,#,397.0750122,760.2500000,1067.0000000
51.9384575,240.4351654,323.8061218,#,#
64.0172043,183.9680328,363.1080627,582.8171387,#
91.7514267,154.9799194,275.0506287,646.4465942,#
88.3654327,180.0664062,365.0861206,426.7099915,1196.5158691
81.0262222,#,364.9461975,794.4833984,799.9577637
87.6300278,177.6470337,458.4487610,597.1981812,#
76.2564545,#,360.9565125,464.3754272,#
94.1219635,171.9773712,374.2630310,796.8955078,796.8955688
54.5704460,370.4706421,354.2484131,752.7332764,#
127.5168304,157.1025848,255.8170319,453.1702271,#
102.5284348,183.4944000,306.0514221,#,#
183.9340820,179.0024109,265.6112671,577.2803955,#
111.8256912,215.8435822,393.3999023,857.9431763,1039.7727051
#,#,403.6310120,697.7840576,1139.0134277
#,154.4685669,283.9369202,#,1151.2836914
