p3,p4,p5,p6,p7
#,37.7780380,0.0000000,0.0000000,#
16.2803326,75.1712723,107.5306854,69.1957626,0.0000000
#,0.0000324,0.0000000,0.0000000,#
22.9729214,27.9692745,161.6530304,94.0363770,0.0000000
#,28.4310112,112.7898026,115.9829407,#
18.9796314,#,0.0000324,11.3667641,#
34.2837982,74.5137177,0.0000000,#,#
41.0810814,72.2760315,103.6907349,12.4270239,#
28.4554443,20.3412285,16.5218620,0.0000334,#
130.5540924,88.5802155,35.0521698,0.0000334,#
11.2931709,15.2490520,22.4017754,118.8203506,#
#,#,0.0000000,0.0000647,#
58.7297134,0.0000000,0.0000000,58.8046989,#
#,43.0226059,36.9414253,209.7975922,8.7680006
#,#,92.2055206,91.8078842,82.4719925
#,#,26.7200489,173.0289001,0.0000647
#,0.0000000,0.0000000,0.0000000,#
45.3261414,58.9694023,127.1648331,#,#
19.0431900,0.0000000,37.2748489,16.9838238,#
#,#,#,242.7408142,118.1199493
36.0741386,37.2481766,0.0000000,60.3288422,#
45.6687851,46.3605576,0.0000000,243.9047089,#
6.3905849,36.4876175,40.5723076,46.7829056,#
54.7979355,48.7340240,81.9544449,0.0000330,#
19.3844643,18.7345791,#,0.0000000,#
9.0730019,35.0552750,46.5254822,#,0.0000000
27.7574673,47.4710541,97.1210861,43.2384529,#
#,173.7373047,204.4303589,172.5758209,#
23.8708305,34.7631302,109.1544189,#,#
30.8761234,46.3735733,0.0000000,0.0000659,0.0000659
0.0000000,#,0.0000000,240.2489471,#
24.7007446,75.7320404,85.7639999,0.0000324,#
21.8102798,69.3215179,33.2605362,0.0000000,#
70.0816193,56.1820221,68.5575867,0.0000647,0.0000000
25.2495098,0.0000000,0.0000000,72.6806946,#
0.0000000,#,#,148.9976959,0.0000000
#,#,40.8541794,29.6417274,0.0000000
41.6153717,46.2289963,0.0000000,104.1577606,106.3315887
26.7101364,77.0793686,77.4683685,0.0000000,#
25.4864826,65.8916245,33.3593063,145.1614075,#
42.8234673,0.0000000,#,#,#
38.6891708,11.7467489,#,103.6772842,#
8.2779360,#,1.0622101,0.0000000,0.0000000
0.0000000,39.4127998,0.0000647,228.6139526,0.0000652
17.7807980,48.4453278,54.9851990,0.0000000,0.0000000
17.4389877,0.0000000,#,37.9712334,#
#,0.0000000,30.5362015,344.0744019,0.0000647
4.6389151,#,#,0.0000647,#
#,#,#,128.9227142,177.0303040
0.0000000,23.7114487,21.1104984,55.5313988,103.2768555
16.1214390,15.9231405,99.3545914,0.0000000,#
38.7302208,108.9573669,143.3169556,21.7692738,#
46.5113220,#,#,#,0.0000000
26.2671680,145.5082703,0.0000000,0.0000000,#
26.5350437,0.0000000,83.9027863,0.0000647,0.0000647
12.7508602,0.0000000,0.0000000,#,0.0000647
32.0202675,77.6556854,97.8820648,128.4041138,0.0000000
#,0.0000000,13.1625357,0.0000324,#
29.3173428,44.8204460,139.5957794,98.0221786,0.0000647
32.2740517,69.1588058,94.0020142,164.5974731,#
53.1996498,41.8394127,75.1537628,0.0000647,#
30.9792519,49.1349792,69.4529343,113.5354843,0.0000669
14.7358551,67.6990509,37.0860863,22.1486263,0.0000000
24.1652565,0.0000000,0.0000324,#,0.0000647
48.1108551,53.4195099,52.7158356,0.0000000,#
31.2452564,28.0761242,131.0669403,125.3262405,0.0000000
12.9737787,22.5125179,24.8324337,#,#
33.0294456,25.4146595,78.8980408,0.0000000,#
25.4366570,25.7990036,#,0.0000000,#
42.0015068,61.7610168,82.8132858,85.2105637,#
16.5233784,#,6.2424688,112.3558197,0.0000000
8.9979019,41.7524338,0.0000000,118.4576187,0.0000000
28.7331657,#,0.0000000,0.0000647,0.0000000
24.1865253,0.0000081,0.0000000,0.0000000,0.0000000
49.5723114,36.7439461,56.3829994,0.0000000,0.0000000
40.3263817,36.4323044,0.0000000,0.0000647,#
34.2061157,21.8780651,17.4781284,#,0.0000000
35.7694740,48.1293678,181.1686096,192.4929352,0.0000000
13.1679688,#,140.8551941,77.1725922,0.0000000
23.1921005,26.6723385,90.4990997,154.8551941,0.0000659
23.2771339,109.9013138,51.8408127,2.9906635,0.0000000
22.4827976,51.9244995,120.6273346,4.0171428,#
0.0000167,39.9055138,56.5331841,117.8402100,0.0000647
0.0000000,99.5259094,60.4989777,133.4697113,0.0000000
#,#,30.4495831,0.0000000,0.0000000
29.1211586,0.0000162,57.8501511,#,#
40.1430168,59.2169151,142.2463074,59.9568596,#
50.1364098,8.1152182,0.0000000,17.7600136,#
27.1674480,56.2772064,109.4774551,0.0000000,0.0001295
0.0000000,#,0.0000000,19.8439121,0.0000000
42.1303902,14.2429457,175.2215576,167.3324890,#
23.6121445,#,106.9110794,14.7652321,#
25.5063801,56.0451012,91.8683395,0.0000000,0.0000000
20.3526573,0.0000000,16.6925507,0.0000647,#
26.7384949,52.5041809,39.1977730,0.0000324,#
39.9522667,88.0763474,57.2837639,#,#
0.0000000,4.4919686,0.0000324,0.0000000,#
26.7992954,93.9867554,151.3854828,187.1009674,0.0000000
#,#,0.0000324,379.7499390,0.0000000
#,33.9480095,114.0044708,#,0.0000000
