p3,p4,p5,p6,p7
72.5238647,179.0237579,201.5495453,742.2827148,742.6202393
69.9837570,135.1163025,290.8778076,534.7152710,673.9645386
55.0826302,#,#,948.3129272,948.3129272
47.7392769,201.0090942,356.9872742,446.1176147,#
54.5329628,118.8542938,294.1698914,689.4808960,800.0000000
60.2752113,165.2461853,253.5969391,707.9642944,857.8013916
#,176.1567841,291.2124329,478.1841736,872.7493896
68.5714798,#,434.5463867,469.2203674,#
81.4116287,133.4297485,296.5346375,536.1138306,777.5344849
77.5917206,145.9772186,249.3932343,592.0260010,692.0162354
58.4180832,#,390.0543213,633.7034912,958.5690308
61.7878189,125.7032700,280.9514771,591.4299316,660.6018677
57.5068016,94.2405472,#,782.5583496,1029.0754395
67.2580109,128.1245575,236.5021515,497.7911072,#
59.1837387,156.2091064,168.5059052,663.2468872,744.5559082
52.6578636,107.2083511,327.0200806,544.1759033,877.6311035
121.5011597,121.5011597,#,653.2770386,696.4071655
68.3137360,186.0960236,273.7955017,420.4470825,750.1307983
60.6887512,145.1517639,303.3406067,508.7663574,933.0018311
55.9696617,#,280.5142822,529.3889771,640.0000000
83.7030487,102.2981796,355.1387939,489.6730042,798.7634888
#,208.5909119,328.6687012,641.1585693,818.4186401
62.4870110,138.6895294,168.5230103,857.3218994,857.3218994
81.8745422,126.3050919,192.8056335,#,1067.0000000
69.1023865,111.2807846,#,560.4952393,560.4951782
62.1343231,146.8425903,277.1965027,466.2398071,559.6396484
95.4267578,123.0396957,290.3379211,601.6543579,711.3255615
#,192.0333099,311.2464294,480.6761475,#
56.0251160,137.0354309,241.0593719,535.6788330,#
63.4102859,152.6562653,267.1686401,647.6221924,778.4641724
#,245.8730164,248.4459381,883.4230957,883.4230347
74.5594177,177.9581604,226.6656494,572.5197144,#
99.0793915,128.7954407,332.9792480,544.2573853,976.2908325
73.7904205,122.3021698,176.4590454,932.7247314,932.7247925
51.9851875,140.8505249,297.0245972,417.8981628,#
62.7351227,149.8234406,202.9741364,883.7260742,883.7260742
#,#,#,722.1219482,827.9047852
58.8257637,148.3420258,283.5879211,467.6985779,694.9003906
61.9394836,184.7833405,371.5503845,436.5509644,1069.7285156
54.5470314,137.8200836,288.9182129,486.7951355,1012.4329834
66.4736938,125.6209412,277.4730530,598.7790527,664.8476562
#,135.8257751,#,613.7639771,738.8758545
#,143.0191650,#,496.9385681,#
85.5587082,133.9409027,227.1131744,676.2387085,745.7608032
73.1311722,109.9615021,282.5458374,638.2401733,740.6732788
54.6854897,193.2407532,297.4091492,513.9476929,886.3617554
#,#,478.3999939,623.2410889,987.0568848
51.5803795,234.5999756,311.3088074,507.9489441,822.7047119
#,183.9340973,285.8137817,502.5863647,#
54.0933456,200.8966980,284.6575317,481.1768494,904.5491943
100.2333069,148.6184235,277.2357788,536.7423706,746.1170654
#,173.8551636,281.8287659,692.9946899,763.4166870
103.0651627,128.5942078,166.6666565,690.0358276,804.8610840
59.0181160,149.0196686,263.8895569,526.1503296,753.4353027
100.7146835,126.9615555,278.5617371,487.0367432,1012.2564697
#,#,289.2873535,534.2462158,611.2333984
81.8089066,101.4150391,337.1367798,583.7800293,710.4861450
65.0390244,171.7189331,267.3771973,506.7921448,724.9211426
#,204.3471680,271.3761902,704.6342773,939.8483276
67.6177444,78.0360718,#,#,1172.1445312
87.1750488,131.6875305,323.2796021,603.1027222,888.5192261
92.9849854,134.1379700,298.8654175,565.1690674,882.2479248
96.9682999,140.0917816,228.0994568,732.2288818,932.2635498
53.0523262,139.7966919,290.6059570,647.0348511,740.6217651
97.1803665,97.1803589,#,561.2954102,1038.9367676
#,180.7335358,259.8664246,555.9343262,703.5317383
95.7124100,169.4143829,324.8412170,455.9239502,968.3238525
52.7603607,175.1180267,309.4733582,562.8366699,796.6833496
64.5103149,126.0052719,311.7224426,615.3298340,808.0446167
117.6806641,143.0765381,318.9755859,479.8220520,1177.6782227
55.2117004,142.7611694,265.9117432,543.5074463,582.9666748
58.4498901,222.9633789,284.1711426,593.4544678,717.5054932
#,#,348.2755127,693.6214600,773.0628662
58.6682358,183.2283173,321.9669189,600.2437744,906.9700317
67.9265060,155.2388763,274.8645325,597.8004761,659.8772583
77.9587097,133.0395660,258.7457581,596.5407104,818.6469116
72.2890320,162.0363770,270.5420837,585.0135498,828.8576660
91.0081177,123.4253387,350.0645142,473.1195984,#
23.7599697,163.2424927,301.6539307,375.4404297,1084.8950195
65.6909943,146.3723602,246.9393311,559.9193115,784.5153809
#,#,339.3854370,627.8811035,854.3821411
105.9260330,129.8060913,238.4724579,631.9761353,800.0000000
#,#,#,790.6416626,785.9625244
63.2360611,114.0950012,#,640.7470093,881.4217529
60.7844734,143.0488892,213.9674072,618.8477783,618.8478394
#,#,258.7192993,651.5565796,942.0562134
#,#,407.4804688,415.0347290,#
50.5121231,202.4208832,225.6434021,563.4951782,1154.5357666
69.5721970,138.4688263,282.3074341,511.9581604,755.0538940
55.6647797,161.1814423,256.6994934,610.3038940,764.4221191
87.6499023,162.5521240,314.2832336,486.2136841,623.6370239
56.4506874,225.7506256,300.3180237,561.5751343,961.8060303
#,#,315.3245850,569.9282837,779.0333862
80.4584579,114.1548996,245.7194977,#,#
#,162.3606873,330.1704712,407.3230286,#
99.0111771,99.0111694,448.5940857,516.5384521,708.2716675
76.2680359,130.6956024,267.3025513,540.3192749,834.0350342
#,190.3878174,201.0195618,#,1179.1218262
#,165.6916809,277.8614197,599.3966064,713.8085327
65.6775665,125.0845108,348.8429565,503.3857422,617.0353394
