p3,p4,p5,p6,p7
17.7706680,48.9089165,0.0000000,1.5664924,1.6965423
21.7056236,27.6526794,64.8396912,126.1399155,67.1583023
16.2791901,#,#,0.0000682,0.0002473
11.0892801,0.0000159,120.6831055,0.0000623,#
22.7147350,32.4323921,48.7039566,179.0771027,0.0000000
22.2534599,63.9752846,50.1186104,247.0607147,0.0001247
#,26.0527325,42.5633202,127.5672760,237.2809448
0.0000309,#,15.7713614,23.2557278,#
19.7285538,37.1588402,77.5307693,144.9622803,60.5759468
20.2049236,41.7428894,47.1749115,173.1890717,0.0001870
13.5584087,#,0.0000630,291.9621582,0.0001256
14.5636454,46.1497154,32.7367096,128.6056671,14.3494568
22.0603142,12.4962320,#,0.0001870,163.4392548
18.3239651,41.2909851,21.8839035,0.0000637,#
12.2007055,14.0421295,9.4585066,80.6385651,77.3841629
21.4066601,0.0000309,78.2541885,122.4725876,72.3829193
0.0000000,0.0000239,#,61.4233398,0.0000000
0.0000077,20.5600262,63.8900871,137.8894806,0.0000000
22.0399647,41.1007538,89.0229416,88.6883240,179.8014984
15.9404688,#,0.0000308,169.2022858,0.0000610
15.1347218,12.8884773,46.4587212,170.2076721,0.0001240
#,0.0000162,70.4362411,186.2188568,73.9815826
13.9432573,43.6703644,0.0000000,0.0000652,0.0000652
24.1521626,31.4287701,0.0000163,#,0.0000000
14.6687860,25.3015594,#,0.0001232,0.0000000
16.6769142,28.3323269,111.4512939,77.5941620,0.0000000
19.7903328,31.7699986,46.1692848,164.1019745,53.5649147
#,0.0000000,115.8543091,62.3142395,#
17.3541317,18.3260670,70.3515930,0.0000620,#
22.3142872,46.6271439,80.7599411,120.1309357,47.7163467
#,1.4274063,3.9532611,0.0001912,0.0002859
25.5651569,40.4684334,38.0891418,53.5735130,#
0.0000233,22.7229195,0.0001548,144.2237701,296.2168579
15.2895145,34.4495811,0.0000315,0.0000000,0.0001854
21.4026260,18.1765575,65.3441544,59.2810249,#
19.4691658,42.4776154,15.5214148,0.0000000,0.0003091
#,#,#,127.6564331,100.9156342
24.3037109,34.2683716,69.2338791,160.5869598,0.0000000
4.4004378,41.5921745,85.9220123,27.5758667,0.0006168
19.5175819,12.8823843,177.8353424,0.0001236,0.0001247
19.3926029,25.6156979,30.9881229,134.3961792,0.0000000
#,0.0000154,#,81.3598480,0.0000623
#,0.0000000,#,0.0001236,#
22.3053741,31.7274342,47.0060158,84.6363678,39.1341362
20.6687202,42.1880531,50.8156433,145.2937927,83.5922928
0.0000309,8.0539856,74.5277634,172.0922089,15.7610245
#,#,0.0000374,166.8007660,153.8403320
10.1560879,0.0000000,88.7700729,105.4952621,132.6548920
#,0.0000000,29.9578037,118.1559219,#
13.6893444,8.8215065,63.3682404,95.7662506,148.3314667
0.0000157,54.0301933,74.7936096,112.7009048,0.0000652
#,42.2971115,73.5389252,145.3643799,3.1314764
4.5592895,30.8920898,0.0000378,126.1493683,63.3297729
41.8867073,35.1319427,48.6162643,120.9654846,0.0000637
0.0000079,46.7278175,55.9741135,96.6920929,141.8295898
#,#,56.1753349,80.9001389,26.5508881
26.3386173,0.0000000,61.9237061,129.1227112,133.4719543
14.1537247,38.0396118,82.1820221,150.7421875,30.6258335
#,0.0000000,41.8413429,154.3540039,133.8737793
15.0783195,0.0000000,#,#,0.0000000
0.0000000,26.2520313,66.0567093,211.2327423,104.6947632
10.6295576,40.1223602,70.2262192,212.1988373,0.0000620
6.2510295,40.9854355,31.7723122,71.9995728,141.3377075
16.1055126,41.5287704,70.6078949,117.8509369,75.9425278
0.0000388,0.0000000,#,119.5038605,0.0002467
#,23.2462215,64.3746414,159.8270416,112.8516922
0.0000000,61.7407265,74.6571426,205.3377075,0.0001854
20.3897800,23.2333450,114.0946960,156.8127441,0.0001261
21.5253220,26.2673626,64.4189911,175.4944611,131.4192047
0.0000000,24.1214714,157.4683990,21.5760345,0.0000000
26.8851719,17.5836506,63.8292732,98.5247040,0.0000652
0.0000309,6.1022935,81.4274292,133.9552002,0.0000630
#,#,0.0000929,154.7192841,25.6492100
15.4797306,74.3902588,85.6059799,116.7175522,198.4927826
9.5934839,34.6691666,54.5392380,101.9941940,12.2783070
24.3271484,33.7284546,68.1341705,238.0814056,0.0000000
0.0000233,39.2583656,71.1436539,145.4470825,103.6625595
0.0000158,8.2261848,57.7422295,48.9135437,#
7.3346810,44.4832802,72.2511444,41.8831291,0.0003696
20.0005875,50.1775322,46.0313835,178.5361633,0.0001870
#,#,42.7968712,248.6267242,14.9399290
1.8566771,48.5307770,10.7964144,113.5175781,0.0000000
#,#,#,9.4775543,8.2342396
27.7197800,20.2732811,#,112.2390823,0.0000380
24.8485622,48.0554886,18.8620052,0.0000623,0.0000000
#,#,0.0001542,104.9225006,140.3694916
#,#,19.4599209,15.7406139,#
4.5351143,16.5592079,14.5147991,94.2813950,125.9150314
19.5846806,34.4842987,94.1822662,160.1693268,0.0000637
21.0449619,46.2177391,47.9579659,132.7616425,0.0001261
0.0000000,39.5316887,77.0625381,119.7540588,22.8637562
0.0000000,0.0000158,106.9501190,185.2117310,55.5786819
#,#,32.5351295,192.5887909,0.0001240
24.3408737,18.9692135,61.1458359,#,#
#,16.2611408,98.5578461,30.2999115,#
0.0000388,0.0000000,12.7123747,84.1784363,0.0000652
18.5827255,29.5361652,82.8172760,155.3011932,86.1333466
#,10.2394295,6.7199106,#,0.0002488
#,19.7362175,67.7306519,96.8838272,47.1423492
34.1332474,23.7226486,67.3573914,68.7920914,0.0000000
